Model,Feature_Type,MAE,RMSE,MAPE,Num_Features
LightGBM,time_only,0.9675848138402272,1.2078746730073873,61.818964266176046,33
LightGBM,demographic_aware,0.973461076758548,1.2104344396282505,61.21845058179981,48
Random Forest,time_only,1.000169123726779,1.2275363059337716,63.71073018593798,33
Random Forest,demographic_aware,1.0348969746961258,1.274400655961534,66.9794388690743,48
XGBoost,time_only,1.0351399387856914,1.272531688889241,66.78547419487035,33
XGBoost,demographic_aware,1.0971028147750954,1.3315843231728248,71.87408355624537,48
